Date,aportes,volumen_util,porcentaje_util
2021-11-26,276.5082,14226.0706,0.84465
2021-11-27,247.4404,14277.7214,0.84772
2021-11-28,174.2821,14274.0985,0.8475
2021-11-29,170.9792,14252.1218,0.8465
2021-11-30,185.3185,14248.8165,0.84631
2021-12-01,198.6273,14253.8182,0.84661
2021-12-02,145.6872,14215.1518,0.84431
2021-12-03,146.8244,14181.1516,0.84229
2021-12-04,158.9235,14163.1229,0.84122
2021-12-05,138.9942,14144.3001,0.8401
2021-12-06,128.2618,14096.3263,0.8373
2021-12-07,124.337,14030.0458,0.83336
2021-12-08,108.1494,13976.5597,0.83018
2021-12-09,111.4766,13904.7587,0.82592
2021-12-10,106.6669,13839.1226,0.82202
2021-12-11,118.9709,13792.1097,0.81923
2021-12-12,135.8966,13789.6303,0.81908
2021-12-13,123.4304,13756.8424,0.81713
2021-12-14,105.5313,13702.8479,0.81392
2021-12-15,101.5612,13649.0836,0.81073
2021-12-16,101.2748,13596.2205,0.80759
2021-12-17,108.4226,13549.8147,0.80483
2021-12-18,124.0732,13533.1973,0.80385
2021-12-19,112.7228,13515.9331,0.80282
2021-12-20,115.1317,13482.777,0.80085
2021-12-21,110.9853,13463.9575,0.79974
2021-12-22,119.3174,13448.7087,0.79883
2021-12-23,110.0124,13426.8541,0.79753
2021-12-24,97.5041,13403.6309,0.79615
2021-12-25,96.7338,13384.1124,0.79499
2021-12-26,113.9225,13390.3888,0.79537
2021-12-27,117.9258,13382.1111,0.79487
2021-12-28,115.5011,13363.2322,0.79375
2021-12-29,123.3998,13353.1913,0.79316
2021-12-30,122.3392,13336.9683,0.79219
2021-12-31,101.7371,13308.8217,0.79052
2022-01-01,109.6094,13311.0516,0.79065
2022-01-02,110.9561,13302.1183,0.79012
2022-01-03,104.0472,13264.1005,0.78786
2022-01-04,98.7147,13205.0581,0.78436
2022-01-05,94.1028,13113.9984,0.77895
2022-01-06,107.8831,13068.3062,0.77623
2022-01-07,125.1231,13028.397,0.77386
2022-01-08,96.2095,12958.3644,0.7697
2022-01-09,92.6809,12896.9672,0.76606
2022-01-10,88.3664,12839.2805,0.76263
2022-01-11,87.2758,12763.8922,0.75815
2022-01-12,85.6209,12697.7051,0.75422
2022-01-13,93.5877,12644.091,0.75104
2022-01-14,138.3395,12639.0885,0.75074
2022-01-15,93.7255,12589.5222,0.7478
2022-01-16,80.1573,12537.0132,0.74468
2022-01-17,86.9313,12463.3742,0.7403
2022-01-18,80.5572,12388.8133,0.73587
2022-01-19,73.5589,12300.5429,0.73063
2022-01-20,70.6409,12205.054,0.72496
2022-01-21,70.042,12112.2754,0.71945
2022-01-22,78.5069,12057.6228,0.7162
2022-01-23,81.4581,11997.3598,0.71262
2022-01-24,72.7618,11913.8276,0.70766
2022-01-25,100.5986,11869.0003,0.705
2022-01-26,84.3266,11800.9852,0.70096
2022-01-27,80.8029,11724.9513,0.69644
2022-01-28,78.2901,11643.2551,0.69159
2022-01-29,68.8781,11564.5783,0.68692
2022-01-30,60.6928,11498.8998,0.68301
2022-01-31,65.619,11413.882,0.67796
2022-02-01,67.3525,11321.8326,0.6725
2022-02-02,65.271,11224.9699,0.66674
2022-02-03,60.6984,11134.2074,0.66135
2022-02-04,67.7151,11038.8639,0.65569
2022-02-05,82.5237,10976.8537,0.65201
2022-02-06,100.0141,10947.3452,0.65025
2022-02-07,102.3958,10898.2208,0.64733
2022-02-08,123.5375,10864.2557,0.64532
2022-02-09,126.5453,10832.2984,0.64342
2022-02-10,98.0346,10765.1488,0.63943
2022-02-11,89.0671,10687.708,0.63012
2022-02-12,87.808,10618.7482,0.62606
2022-02-13,87.7543,10571.3093,0.62326
2022-02-14,98.8534,10508.26,0.61954
2022-02-15,87.9687,10445.0808,0.61582
2022-02-16,87.2873,10375.138,0.61169
2022-02-17,84.2919,10292.4415,0.60682
2022-02-18,113.9555,10254.7901,0.6046
2022-02-19,111.0752,10218.8166,0.60248
2022-02-20,124.6649,10224.7174,0.60282
2022-02-21,144.1327,10219.5787,0.60252
2022-02-22,123.5052,10185.4182,0.60051
2022-02-23,104.0806,10125.1476,0.59695
2022-02-24,97.9254,10053.3217,0.59272
2022-02-25,117.1812,10005.4422,0.5899
2022-02-26,131.3978,9976.7148,0.5882
2022-02-27,142.2563,9992.1661,0.58911
2022-02-28,208.8683,10059.5998,0.59309
2022-03-01,203.8739,10111.9711,0.59618
2022-03-02,196.5796,10162.3272,0.59915
2022-03-03,179.9403,10182.4122,0.60033
2022-03-04,167.6786,10168.5603,0.59951
2022-03-05,174.2345,10161.2088,0.59908
2022-03-06,253.982,10260.93,0.60496
2022-03-07,217.8649,10298.2921,0.60716
2022-03-08,168.2264,10273.8783,0.60572
2022-03-09,138.8293,10214.285,0.60221
2022-03-10,147.6865,10163.6592,0.59922
2022-03-11,123.4447,10113.448,0.59626
2022-03-12,164.6112,10109.497,0.59603
2022-03-13,140.3453,10088.1621,0.59477
2022-03-14,158.9384,10066.0457,0.59347
2022-03-15,160.0069,10043.6074,0.59215
2022-03-16,140.9786,10007.3563,0.59001
2022-03-17,142.2678,9971.0764,0.58787
2022-03-18,134.0707,9916.5014,0.58465
2022-03-19,121.6529,9867.0771,0.58174
2022-03-20,149.1438,9865.8614,0.58167
2022-03-21,132.9544,9853.5086,0.58094
2022-03-22,149.1509,9822.6328,0.57912
2022-03-23,135.9827,9775.7861,0.57636
2022-03-24,125.9037,9710.363,0.5725
2022-03-25,139.4752,9643.2811,0.56854
2022-03-26,141.2367,9609.8978,0.56658
2022-03-27,204.8971,9645.835,0.56869
2022-03-28,172.2223,9637.0676,0.56818
2022-03-29,192.2944,9660.5911,0.56956
2022-03-30,200.7375,9685.1391,0.57101
2022-03-31,207.1345,9732.5501,0.57381
2022-04-01,225.9153,9803.7622,0.57801
2022-04-02,202.4605,9825.5422,0.57929
2022-04-03,153.4162,9815.0875,0.57867
2022-04-04,179.7094,9821.1338,0.57903
2022-04-05,178.6598,9823.9073,0.57919
2022-04-06,183.8711,9837.9322,0.58002
2022-04-07,294.0782,9940.1679,0.58605
2022-04-08,219.3454,9973.3023,0.588
